Datetime,Adj Close,Close,High,Low,Open,Volume
2022-09-22,30076.6796875,30076.6796875,30302.279296875,29994.529296875,30204.51953125,335270000
2022-09-23,29590.41015625,29590.41015625,29955.650390625,29250.470703125,29955.650390625,388200000
2022-09-26,29260.810546875,29260.810546875,29630.76953125,29161.119140625,29536.83984375,369450000
2022-09-27,29134.990234375,29134.990234375,29659.119140625,28958.220703125,29419.880859375,355460000
2022-09-28,29683.740234375,29683.740234375,29811.779296875,29114.970703125,29198.919921875,436040000
2022-09-29,29225.609375,29225.609375,29513.73046875,28997.33984375,29513.73046875,388820000
2022-09-30,28725.509765625,28725.509765625,29355.779296875,28715.849609375,29123.029296875,464260000
2022-10-03,29490.890625,29490.890625,29647.7890625,28855.25,28855.25,397830000
2022-10-04,30316.3203125,30316.3203125,30325.05078125,29826.669921875,29826.669921875,375640000
2022-10-05,30273.869140625,30273.869140625,30454.4609375,29886.439453125,30078.359375,290610000
2022-10-06,29926.939453125,29926.939453125,30329.609375,29859.33984375,30206.130859375,306840000
2022-10-07,29296.7890625,29296.7890625,29685.26953125,29142.66015625,29685.26953125,367950000
2022-10-10,29202.880859375,29202.880859375,29485.8203125,29010.41015625,29419.08984375,315410000
2022-10-11,29239.189453125,29239.189453125,29608.419921875,29074.23046875,29085.19921875,352920000
2022-10-12,29210.849609375,29210.849609375,29455.119140625,29136.029296875,29233.060546875,304420000
2022-10-13,30038.720703125,30038.720703125,30168.5390625,28660.939453125,28755.830078125,470260000
2022-10-14,29634.830078125,29634.830078125,30428.8203125,29614.30078125,30192.2109375,379090000
2022-10-17,30185.8203125,30185.8203125,30311.94921875,29997.619140625,30059.580078125,369820000
2022-10-18,30523.80078125,30523.80078125,30837.900390625,30301.830078125,30697.51953125,387130000
2022-10-19,30423.810546875,30423.810546875,30662.109375,30226.900390625,30439.0390625,314030000
2022-10-20,30333.58984375,30333.58984375,30822.9609375,30265.19921875,30411.919921875,333190000
2022-10-21,31082.560546875,31082.560546875,31119.26953125,30206.279296875,30291.1796875,418190000
2022-10-24,31499.619140625,31499.619140625,31603.630859375,31161.41015625,31187.3203125,345040000
2022-10-25,31836.740234375,31836.740234375,31876.150390625,31423.529296875,31463.650390625,336930000
2022-10-26,31839.109375,31839.109375,32172.419921875,31738.439453125,31738.439453125,430400000
2022-10-27,32033.279296875,32033.279296875,32388.419921875,31993.2109375,32062.140625,375720000
2022-10-28,32861.80078125,32861.80078125,32889.80859375,32158.380859375,32204.310546875,495830000
2022-10-31,32732.94921875,32732.94921875,32883.859375,32586.9296875,32754.26953125,390890000
2022-11-01,32653.19921875,32653.19921875,32975.48046875,32485.23046875,32862.7890625,323210000
2022-11-02,32147.759765625,32147.759765625,33071.9296875,32139.76953125,32576.279296875,398430000
2022-11-03,32001.25,32001.25,32185.7109375,31727.05078125,31985.05078125,354440000
2022-11-04,32403.220703125,32403.220703125,32611.51953125,31938.919921875,32265.009765625,422370000
2022-11-07,32827.0,32827.0,32895.58984375,32424.990234375,32454.099609375,336300000
2022-11-08,33160.828125,33160.828125,33355.390625,32831.4609375,32934.55859375,335340000
2022-11-09,32513.939453125,32513.939453125,33065.109375,32478.869140625,33004.46875,355200000
2022-11-10,33715.37109375,33715.37109375,33727.73046875,33167.8203125,33263.91015625,480130000
2022-11-11,33747.859375,33747.859375,33817.9609375,33394.4296875,33797.75,427790000
2022-11-14,33536.69921875,33536.69921875,33964.30078125,33533.9609375,33662.05078125,354340000
2022-11-15,33592.921875,33592.921875,33987.05859375,33320.19921875,33755.94140625,390610000
2022-11-16,33553.828125,33553.828125,33682.828125,33516.98828125,33554.9296875,301560000
2022-11-17,33546.3203125,33546.3203125,33616.01953125,33239.75,33329.26953125,319210000
2022-11-18,33745.69140625,33745.69140625,33827.94140625,33540.640625,33606.58984375,312950000
2022-11-21,33700.28125,33700.28125,33864.58984375,33559.1796875,33760.30078125,352960000
2022-11-22,34098.1015625,34098.1015625,34115.69921875,33810.05078125,33810.05078125,277070000
2022-11-23,34194.05859375,34194.05859375,34262.0703125,34004.640625,34091.5703125,236820000
2022-11-25,34347.03125,34347.03125,34386.51171875,34199.5703125,34213.0390625,131660000
2022-11-28,33849.4609375,33849.4609375,34303.87890625,33799.3515625,34275.91015625,300330000
2022-11-29,33852.53125,33852.53125,33933.91015625,33662.44921875,33847.80078125,279750000
